P1	      1.92      15.00      17.00
P12787	      1.92      11.00      18.00
P19631	      1.92      11.00      15.00
P18493	      1.92       1.00      16.00
P18612	      1.91       9.00      19.00
P12332	      1.91       9.00      14.00
P1873	      1.91       7.00      14.00
P7609	      1.91       7.00      12.00
P4055	      1.91       6.00      20.00
P14092	      1.91       4.00      14.00
P6405	      1.91       4.00      13.00
P19791	      1.91       3.00      14.00
P8730	      1.91      20.00      13.00
P5550	      1.91      20.00      12.00
P18519	      1.91      19.00      14.00
P1945	      1.91      18.00      21.00
P2120	      1.91      15.00      14.00
P8150	      1.91      14.00      18.00
P14048	      1.91      13.00      19.00
P2697	      1.91      13.00      15.00
P13785	      1.91      13.00      13.00
P17211	      1.91      12.00      11.00
P9082	      1.91       1.00      10.00
P5361	      1.91       1.00      10.00
P4272	      1.91      10.00      14.00
P3734	      1.90       8.00      17.00
P9524	      1.90       7.00      12.00
P4359	      1.90       7.00      12.00
P5954	      1.90       3.00      18.00
P1253	      1.90       2.00      10.00
P11107	      1.90      20.00      11.00
P2014	      1.90      15.00      17.00
P11959	      1.90      14.00      15.00
P18111	      1.90      13.00      14.00
P4054	      1.90      11.00      20.00
P18123	      1.90      11.00      10.00
P3040	      1.90       1.00      16.00
P19076	      1.90       1.00      16.00
P6566	      1.89       9.00      13.00
P6323	      1.89       8.00      13.00
P2347	      1.89       7.00      15.00
P5765	      1.89       7.00      14.00
P9163	      1.89       7.00      13.00
P19104	      1.89       5.00      15.00
P1292	      1.89       3.00      18.00
P19282	      1.89       3.00      12.00
P1611	      1.89       2.00      11.00
P4868	      1.89       2.00      10.00
P15738	      1.89      18.00      18.00
P10977	      1.89      18.00      12.00
P16046	      1.89      17.00      13.00
P13539	      1.89      16.00      16.00
P16522	      1.89      13.00      14.00
P915	      1.89      12.00      23.00
P8865	      1.89      12.00      19.00
P10885	      1.89      11.00       9.00
P12798	      1.89      11.00      14.00
P9496	      1.89       1.00      21.00
P10508	      1.89       1.00      15.00
P4153	      1.89      10.00      19.00
P13268	      1.88       8.00       9.00
P12171	      1.88       7.00      12.00
P3756	      1.88       6.00      19.00
P10370	      1.88       3.00      12.00
P11455	      1.88      19.00      13.00
P9725	      1.88      19.00      12.00
P1616	      1.88      18.00      12.00
P11127	      1.88      16.00      11.00
P19455	      1.88      15.00      17.00
P8650	      1.88      13.00      16.00
P17700	      1.88      12.00      17.00
P12155	      1.88      11.00      14.00
P10851	      1.88       1.00      21.00
P17817	      1.88      10.00      13.00
P8406	      1.87       9.00      20.00
P15019	      1.87       9.00      12.00
P13331	      1.87       8.00      22.00
P7195	      1.87       6.00      19.00
P11847	      1.87       6.00      18.00
P3577	      1.87       6.00      17.00
P12323	      1.87       5.00       9.00
P6120	      1.87       4.00      17.00
P11419	      1.87       4.00      11.00
P2028	      1.87       3.00      13.00
P17157	      1.87      19.00      11.00
P6066	      1.87      17.00      13.00
P5181	      1.87      16.00      14.00
P3298	      1.87      15.00      18.00
P13068	      1.87      15.00      12.00
P7030	      1.87      14.00      16.00
P8814	      1.87      14.00      15.00
P882	      1.87      12.00      15.00
P18383	      1.87      12.00      10.00
P19841	      1.87      11.00      18.00
P16129	      1.87      11.00      14.00
P4228	      1.87      11.00      13.00
P9103	      1.87      11.00      10.00
P19547	      1.87      10.00      16.00
P16897	      1.86       9.00      18.00
P5284	      1.86       9.00      12.00
